Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87
 ???????????????????????  ?  ??????  29 ?????????? 2559 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Number of Vehicle Registered in Thailand as of 29 February 2016 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 (??? : Unit) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ???????? , ?????????? , ???????? , ??????????? ,??????????,??????,?????????,??????,???????,???????, ???????????????,????????,???????,???????????,??????????????,???????,??????????,??????????,??????,?????,????????,????,???????,????????????????????????,,???????,?????,???????????,????????,?????????,??????????,????????,??????????,???????????,??????,???????,???,????????,??????,??????,???????,?????????,?????????,????????,????????,???????????,????????,?????????,?????????,?????,????,?????,?????,????,?????????,???????,???,????????,?????????,??????,?????????,?????????,?????????,?????????????,??????????,?????????,??????,???????,?????????,???????????,????????,???????????????,?????????,?????,?????,????????????,?????,?????????????,??????,??????,??????,????,?????,????,???????,????,????????
 Type of Vehicle , Whole Kingdom , Bangkok , Regional ,Central,Chai Nat,Sing Buri,Lop Buri,Ang Thong,Saraburi,Ayuthaya,Pathum Thani,Nonthaburi,Samut Prakarn,Eastern,Nakhon Nayok,Prachin Buri,Chachoengsao,Chonburi,Rayong,Chanthaburi,Trad,Sra Kaew,North Eastern,,Chaiyaphum,Yasothon,Ubon Ratchathani,Si Sa Ket,Buri Rum,Nakhon Ratchasima,Surin,Amnat Charoen,Nong Bua Lamphu,Bueng Kan,Nong Khai,Loei,Udon Thani,Nakhon Phanom,Sakon Nakhon,Khon Kaen,Kalasin,Maha Sarakham,Roi Et,Mukdahan,Northern,Chiang Rai,Mae Hong Son,Chiang Mai,Phayao,nan,Lamphun,Lampang,Phrae,Uttaradit,Sukhothai,Tak,Phitsanulok,Kamphaeng Phet,Phichit,Phetchabun,Nakhon Sawan,Uthai Thani,Western,Suphan Buri,Khanchanaburi,Nakhon Pathom,Ratchaburi,Samut Sakorn,Samut Songkram,Petchaburi,Prachuap Kiri Khan,Southern,Chumphon,Ranong,Surat Thani,Pang Nga,Nakhon Si Thammarat,Krabi,Phuket,Phatthalung,Trang,Songkhla,Satun,Pattani,Yala,Narathiwat
 ??????????? ," 36,912,488 "," 9,096,936 "," 27,815,552 "," 2,167,209 "," 173,251 "," 136,188 "," 412,563 "," 150,274 "," 414,700 "," 412,036 "," 142,340 "," 180,951 "," 144,906 "," 11,558,744 "," 122,791 "," 257,259 "," 374,960 "," 1,414,702 "," 678,586 "," 359,399 "," 131,844 "," 219,651 "," 7,999,552 ", -   ," 359,512 "," 204,701 "," 698,902 "," 385,779 "," 484,125 "," 1,285,585 "," 444,149 "," 121,323 "," 153,947 "," 93,949 "," 224,850 "," 260,226 "," 643,648 "," 215,195 "," 454,229 "," 818,442 "," 286,288 "," 322,580 "," 387,180 "," 154,942 "," 6,619,539 "," 697,713 "," 56,344 "," 1,331,839 "," 264,568 "," 223,279 "," 269,163 "," 444,436 "," 252,960 "," 256,541 "," 303,595 "," 218,052 "," 479,472 "," 354,749 "," 290,928 "," 442,354 "," 555,475 "," 178,071 "," 2,759,696 "," 481,761 "," 396,115 "," 459,136 "," 490,445 "," 229,128 "," 69,019 "," 312,752 "," 321,340 "," 4,710,364 "," 290,435 "," 84,686 "," 602,113 "," 123,651 "," 624,345 "," 248,503 "," 449,453 "," 249,132 "," 362,862 "," 816,344 "," 134,169 "," 221,379 "," 267,946 "," 235,346 "
 Grand Total ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ?. ??????????????????????????? ," 35,724,757 "," 8,918,224 "," 26,806,533 "," 2,012,509 "," 165,213 "," 131,025 "," 396,898 "," 144,529 "," 384,296 "," 389,699 "," 122,473 "," 163,401 "," 114,975 "," 11,138,619 "," 118,801 "," 246,407 "," 352,760 "," 1,364,816 "," 654,794 "," 351,407 "," 128,233 "," 209,300 "," 7,712,101 ", -   ," 340,058 "," 198,672 "," 679,731 "," 372,898 "," 465,697 "," 1,230,505 "," 426,905 "," 118,067 "," 145,839 "," 90,791 "," 219,083 "," 249,412 "," 621,138 "," 210,517 "," 445,259 "," 789,533 "," 273,599 "," 310,664 "," 373,252 "," 150,481 "," 6,439,312 "," 682,239 "," 55,288 "," 1,308,596 "," 257,806 "," 217,139 "," 264,749 "," 435,003 "," 246,738 "," 250,373 "," 293,098 "," 211,299 "," 465,740 "," 337,633 "," 281,663 "," 429,305 "," 530,981 "," 171,662 "," 2,621,854 "," 454,940 "," 378,022 "," 422,833 "," 472,778 "," 215,008 "," 65,740 "," 302,377 "," 310,156 "," 4,594,239 "," 283,533 "," 81,248 "," 584,317 "," 119,594 "," 609,373 "," 242,190 "," 438,636 "," 242,924 "," 355,774 "," 791,537 "," 131,756 "," 217,586 "," 263,544 "," 232,227 "
     Total Vehicle under Motor Vehicle Act ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ??. 1 ?????????????????????????? 7 ?? Sedan (Not more than 7 Pass.) ," 7,848,629 "," 3,846,163 "," 4,002,466 "," 370,329 "," 22,265 "," 19,342 "," 65,284 "," 24,006 "," 64,638 "," 71,394 "," 27,053 "," 61,832 "," 14,515 "," 1,583,112 "," 19,927 "," 38,936 "," 51,839 "," 241,058 "," 129,467 "," 55,767 "," 13,156 "," 23,498 "," 1,009,464 ",," 31,757 "," 22,260 "," 95,804 "," 34,938 "," 42,233 "," 198,627 "," 42,692 "," 11,729 "," 14,579 "," 9,355 "," 25,446 "," 30,433 "," 90,970 "," 18,926 "," 47,410 "," 155,776 "," 33,577 "," 35,965 "," 46,980 "," 20,007 "," 945,386 "," 97,163 "," 2,284 "," 281,875 "," 30,270 "," 24,804 "," 26,149 "," 70,377 "," 33,368 "," 30,349 "," 30,479 "," 23,379 "," 89,867 "," 38,223 "," 25,646 "," 41,191 "," 77,506 "," 22,456 "," 321,229 "," 50,588 "," 53,224 "," 65,839 "," 58,682 "," 7,057 "," 7,268 "," 43,005 "," 35,566 "," 782,410 "," 33,371 "," 10,321 "," 105,007 "," 12,613 "," 95,281 "," 44,525 "," 102,918 "," 32,606 "," 50,484 "," 201,704 "," 15,746 "," 24,781 "," 32,971 "," 20,082 "
